id,user_id,created_at,created_at_utc,type,username,token_name,model_name,quota,prompt_tokens,completion_tokens,use_time,is_stream,channel_id,channel_name,token_id,group,ip,request_id,upstream_request_id,content,other
115956,398,1787967790,2026-08-29 01:43:10,2,xiaochen,claude code,claude-opus-5,1502,424,1,1,f,82,,188,claude code max,"",202608290143093829779328268d9d6nQz85XXr,202608290143097348740368268d9d66gl80Kko,"","{""admin_info"":{""usage_billing_path"":""billing-usage-anthropic"",""use_channel"":[""82""]},""billing_source"":""wallet"",""cache_creation_ratio"":1.25,""cache_creation_tokens"":0,""cache_ratio"":0.1,""cache_tokens"":0,""claude"":true,""completion_ratio"":5,""frt"":-1000,""group_ratio"":1.4,""model_price"":-1,""model_ratio"":2.5,""official_quota"":1072.5,""request_conversion"":[""Claude Messages""],""request_path"":""/v1/messages"",""usage_semantic"":""anthropic"",""user_group_ratio"":-1}"
115957,398,1787967806,2026-08-29 01:43:26,2,xiaochen,claude code,claude-opus-5,1502,424,1,2,f,82,,188,claude code max,"",202608290143246037407788268d9d6z2Nd35Co,202608290143246757404018268d9d6UHSl6QAi,"","{""admin_info"":{""channel_affinity"":{""key_fp"":""55d3a3d1"",""key_hint"":""{\""de...d2\""}"",""key_key"":"""",""key_path"":""metadata.user_id"",""key_source"":""gjson"",""model"":""claude-opus-5"",""override_template"":{""applied"":true,""param_override_keys"":1,""rule_name"":""claude cli trace""},""reason"":""claude cli trace"",""request_path"":""/v1/messages"",""rule_name"":""claude cli trace"",""using_group"":""claude code max""},""usage_billing_path"":""billing-usage-anthropic"",""use_channel"":[""82""]},""billing_source"":""wallet"",""cache_creation_ratio"":1.25,""cache_creation_tokens"":0,""cache_ratio"":0.1,""cache_tokens"":0,""claude"":true,""completion_ratio"":5,""frt"":-1000,""group_ratio"":1.4,""model_price"":-1,""model_ratio"":2.5,""official_quota"":1072.5,""request_conversion"":[""Claude Messages""],""request_path"":""/v1/messages"",""usage_semantic"":""anthropic"",""user_group_ratio"":-1}"
115958,398,1787967806,2026-08-29 01:43:26,2,xiaochen,claude code,claude-opus-5,6269,2,1,1,f,82,,188,claude code max,"",202608290143252049163138268d9d6zZXlPyBB,202608290143252065476508268d9d6uXhro3BO,"","{""admin_info"":{""channel_affinity"":{""key_fp"":""55d3a3d1"",""key_hint"":""{\""de...d2\""}"",""key_key"":"""",""key_path"":""metadata.user_id"",""key_source"":""gjson"",""model"":""claude-opus-5"",""override_template"":{""applied"":true,""param_override_keys"":1,""rule_name"":""claude cli trace""},""reason"":""claude cli trace"",""request_path"":""/v1/messages"",""rule_name"":""claude cli trace"",""using_group"":""claude code max""},""usage_billing_path"":""billing-usage-anthropic"",""use_channel"":[""82""]},""billing_source"":""wallet"",""cache_creation_ratio"":1.25,""cache_creation_ratio_1h"":2,""cache_creation_tokens"":892,""cache_creation_tokens_1h"":892,""cache_ratio"":0.1,""cache_tokens"":0,""cache_write_tokens"":892,""claude"":true,""completion_ratio"":5,""frt"":-1000,""group_ratio"":1.4,""model_price"":-1,""model_ratio"":2.5,""official_quota"":4477.5,""request_conversion"":[""Claude Messages""],""request_path"":""/v1/messages"",""usage_semantic"":""anthropic"",""user_group_ratio"":-1}"
115959,398,1787967806,2026-08-29 01:43:26,2,xiaochen,claude code,claude-opus-5,4771,2,1,1,f,82,,188,claude code max,"",202608290143254038597568268d9d6mH1ep25u,202608290143254277724478268d9d6uXeFm0wO,"","{""admin_info"":{""channel_affinity"":{""key_fp"":""55d3a3d1"",""key_hint"":""{\""de...d2\""}"",""key_key"":"""",""key_path"":""metadata.user_id"",""key_source"":""gjson"",""model"":""claude-opus-5"",""override_template"":{""applied"":true,""param_override_keys"":1,""rule_name"":""claude cli trace""},""reason"":""claude cli trace"",""request_path"":""/v1/messages"",""rule_name"":""claude cli trace"",""using_group"":""claude code max""},""usage_billing_path"":""billing-usage-anthropic"",""use_channel"":[""82""]},""billing_source"":""wallet"",""cache_creation_ratio"":1.25,""cache_creation_ratio_1h"":2,""cache_creation_tokens"":678,""cache_creation_tokens_1h"":678,""cache_ratio"":0.1,""cache_tokens"":0,""cache_write_tokens"":678,""claude"":true,""completion_ratio"":5,""frt"":-1000,""group_ratio"":1.4,""model_price"":-1,""model_ratio"":2.5,""official_quota"":3407.5,""request_conversion"":[""Claude Messages""],""request_path"":""/v1/messages"",""usage_semantic"":""anthropic"",""user_group_ratio"":-1}"
115960,398,1787967806,2026-08-29 01:43:26,2,xiaochen,claude code,claude-opus-5,1764,499,1,1,f,82,,188,claude code max,"",202608290143254124867278268d9d6asVPkfc1,202608290143254288921948268d9d6PgQ3D1ed,"","{""admin_info"":{""channel_affinity"":{""key_fp"":""55d3a3d1"",""key_hint"":""{\""de...d2\""}"",""key_key"":"""",""key_path"":""metadata.user_id"",""key_source"":""gjson"",""model"":""claude-opus-5"",""override_template"":{""applied"":true,""param_override_keys"":1,""rule_name"":""claude cli trace""},""reason"":""claude cli trace"",""request_path"":""/v1/messages"",""rule_name"":""claude cli trace"",""using_group"":""claude code max""},""usage_billing_path"":""billing-usage-anthropic"",""use_channel"":[""82""]},""billing_source"":""wallet"",""cache_creation_ratio"":1.25,""cache_creation_tokens"":0,""cache_ratio"":0.1,""cache_tokens"":0,""claude"":true,""completion_ratio"":5,""frt"":-1000,""group_ratio"":1.4,""model_price"":-1,""model_ratio"":2.5,""official_quota"":1260,""request_conversion"":[""Claude Messages""],""request_path"":""/v1/messages"",""usage_semantic"":""anthropic"",""user_group_ratio"":-1}"
115961,398,1787967806,2026-08-29 01:43:26,2,xiaochen,claude code,claude-opus-5,4169,2,1,1,f,82,,188,claude code max,"",202608290143254213698118268d9d6Sd0xZcko,202608290143254278302278268d9d6ibe5ifD0,"","{""admin_info"":{""channel_affinity"":{""key_fp"":""55d3a3d1"",""key_hint"":""{\""de...d2\""}"",""key_key"":"""",""key_path"":""metadata.user_id"",""key_source"":""gjson"",""model"":""claude-opus-5"",""override_template"":{""applied"":true,""param_override_keys"":1,""rule_name"":""claude cli trace""},""reason"":""claude cli trace"",""request_path"":""/v1/messages"",""rule_name"":""claude cli trace"",""using_group"":""claude code max""},""usage_billing_path"":""billing-usage-anthropic"",""use_channel"":[""82""]},""billing_source"":""wallet"",""cache_creation_ratio"":1.25,""cache_creation_ratio_1h"":2,""cache_creation_tokens"":592,""cache_creation_tokens_1h"":592,""cache_ratio"":0.1,""cache_tokens"":0,""cache_write_tokens"":592,""claude"":true,""completion_ratio"":5,""frt"":-1000,""group_ratio"":1.4,""model_price"":-1,""model_ratio"":2.5,""official_quota"":2977.5,""request_conversion"":[""Claude Messages""],""request_path"":""/v1/messages"",""usage_semantic"":""anthropic"",""user_group_ratio"":-1}"
115962,398,1787967807,2026-08-29 01:43:27,2,xiaochen,claude code,claude-opus-5,10280,2,1,2,f,82,,188,claude code max,"",202608290143255128249378268d9d68QvwhADp,202608290143255987488608268d9d6SgJP6Yw3,"","{""admin_info"":{""channel_affinity"":{""key_fp"":""55d3a3d1"",""key_hint"":""{\""de...d2\""}"",""key_key"":"""",""key_path"":""metadata.user_id"",""key_source"":""gjson"",""model"":""claude-opus-5"",""override_template"":{""applied"":true,""param_override_keys"":1,""rule_name"":""claude cli trace""},""reason"":""claude cli trace"",""request_path"":""/v1/messages"",""rule_name"":""claude cli trace"",""using_group"":""claude code max""},""usage_billing_path"":""billing-usage-anthropic"",""use_channel"":[""82""]},""billing_source"":""wallet"",""cache_creation_ratio"":1.25,""cache_creation_ratio_1h"":2,""cache_creation_tokens"":1465,""cache_creation_tokens_1h"":1465,""cache_ratio"":0.1,""cache_tokens"":0,""cache_write_tokens"":1465,""claude"":true,""completion_ratio"":5,""frt"":-1000,""group_ratio"":1.4,""model_price"":-1,""model_ratio"":2.5,""official_quota"":7342.5,""request_conversion"":[""Claude Messages""],""request_path"":""/v1/messages"",""usage_semantic"":""anthropic"",""user_group_ratio"":-1}"
115963,398,1787967807,2026-08-29 01:43:27,5,xiaochen,claude code,claude-opus-5,0,0,0,1,f,82,,188,claude code max,"",202608290143254491014988268d9d6NdtFcwgZ,202608290143254655340258268d9d6fWhfMeC0,"status_code=429, Upstream rate limit exceeded, please retry later (request id: 202608290143254655340258268d9d6fWhfMeC0)","{""admin_info"":{""channel_affinity"":{""key_fp"":""55d3a3d1"",""key_hint"":""{\""de...d2\""}"",""key_key"":"""",""key_path"":""metadata.user_id"",""key_source"":""gjson"",""model"":""claude-opus-5"",""override_template"":{""applied"":true,""param_override_keys"":1,""rule_name"":""claude cli trace""},""reason"":""claude cli trace"",""request_path"":""/v1/messages"",""rule_name"":""claude cli trace"",""using_group"":""claude code max""},""use_channel"":[""82""]},""channel_id"":82,""channel_name"":""elucid"",""channel_type"":14,""error_code"":""unknown_error"",""error_type"":""openai_error"",""request_path"":""/v1/messages"",""status_code"":429}"
115964,398,1787967807,2026-08-29 01:43:27,2,xiaochen,claude code,claude-opus-5,4673,2,1,2,f,82,,188,claude code max,"",202608290143255105871758268d9d6KSXh02Yc,202608290143255278597298268d9d6YE7Vjj3S,"","{""admin_info"":{""channel_affinity"":{""key_fp"":""55d3a3d1"",""key_hint"":""{\""de...d2\""}"",""key_key"":"""",""key_path"":""metadata.user_id"",""key_source"":""gjson"",""model"":""claude-opus-5"",""override_template"":{""applied"":true,""param_override_keys"":1,""rule_name"":""claude cli trace""},""reason"":""claude cli trace"",""request_path"":""/v1/messages"",""rule_name"":""claude cli trace"",""using_group"":""claude code max""},""usage_billing_path"":""billing-usage-anthropic"",""use_channel"":[""82""]},""billing_source"":""wallet"",""cache_creation_ratio"":1.25,""cache_creation_ratio_1h"":2,""cache_creation_tokens"":664,""cache_creation_tokens_1h"":664,""cache_ratio"":0.1,""cache_tokens"":0,""cache_write_tokens"":664,""claude"":true,""completion_ratio"":5,""frt"":-1000,""group_ratio"":1.4,""model_price"":-1,""model_ratio"":2.5,""official_quota"":3337.5,""request_conversion"":[""Claude Messages""],""request_path"":""/v1/messages"",""usage_semantic"":""anthropic"",""user_group_ratio"":-1}"
115965,398,1787967807,2026-08-29 01:43:27,5,xiaochen,claude code,claude-opus-5,0,0,0,1,f,82,,188,claude code max,"",202608290143255195658408268d9d66ZNT4GuA,202608290143255299411928268d9d6O1fcCeZB,"status_code=429, Upstream rate limit exceeded, please retry later (request id: 202608290143255299411928268d9d6O1fcCeZB)","{""admin_info"":{""channel_affinity"":{""key_fp"":""55d3a3d1"",""key_hint"":""{\""de...d2\""}"",""key_key"":"""",""key_path"":""metadata.user_id"",""key_source"":""gjson"",""model"":""claude-opus-5"",""override_template"":{""applied"":true,""param_override_keys"":1,""rule_name"":""claude cli trace""},""reason"":""claude cli trace"",""request_path"":""/v1/messages"",""rule_name"":""claude cli trace"",""using_group"":""claude code max""},""use_channel"":[""82""]},""channel_id"":82,""channel_name"":""elucid"",""channel_type"":14,""error_code"":""unknown_error"",""error_type"":""openai_error"",""request_path"":""/v1/messages"",""status_code"":429}"
